Sektör,reklam suresi SN,reklam maliyeti TL,ORTALAMA REYTING (TOPLAM İZLENME ORANI) %,ORTALAMA SHARE (İZLENME PAYI) % :,ORTALAMA AB grubu İzlenme %,prime time yayın oranı %,Diğer yayın zamanı oranı,Haftasonu REYTING (TOPLAM İZLENME ORANI) %,Satışa Etkisi
MOBİLYA,66.4,69826.61,0.48,0.54,0.38,0.37,0.63,0.95,AZ
GIDA,37.7,71403.3,0.42,0.36,0.65,0.23,0.77,0.90,AZ
BEYAZ EŞYA,41.7,45027.01,0.44,0.10,0.66,0.16,0.84,0.36,AZ
OTOMOTİVE,35.7,64114.42,0.29,0.35,0.28,0.70,0.30,0.81,AZ
GİYİM,39.4,62900.43,0.47,0.01,0.40,0.36,0.64,0.60,AZ
DİĞER,35.8,61813.21,0.32,0.48,0.10,0.76,0.24,0.42,AZ
GİYİM,59.8,64350.61,0.33,0.08,0.19,0.94,0.06,0.15,AZ
GİYİM,34.9,52436.72,0.27,0.23,0.84,0.34,0.66,0.37,AZ
MOBİLYA,52.4,56336.48,0.50,0.48,0.37,0.96,0.04,0.58,AZ
GİYİM,30.6,38145.09,0.48,0.72,0.58,0.22,0.78,0.51,AZ
BEYAZ EŞYA,46.4,56833.89,0.12,0.26,0.99,0.34,0.66,0.68,AZ
OTOMOTİVE,57.8,59715.18,0.15,0.53,0.67,0.18,0.82,0.25,AZ
DİĞER,38.9,70795.22,0.46,0.10,0.41,0.86,0.14,0.17,AZ
GIDA,43,70036.69,0.23,0.20,0.14,0.14,0.86,0.32,AZ
MOBİLYA,49.2,54862.09,0.26,0.86,0.83,0.05,0.95,0.38,AZ
DİĞER,60.3,58874.56,0.23,0.43,0.74,0.40,0.60,0.51,AZ
MOBİLYA,67,45456.57,0.45,0.47,0.10,0.16,0.84,0.37,AZ
DİĞER,45.4,72707.43,0.33,0.05,0.70,0.03,0.97,0.67,AZ
OTOMOTİVE,48.8,71502.34,0.44,0.24,0.89,0.56,0.44,0.67,AZ
MOBİLYA,41.5,68770.88,0.23,0.37,0.02,0.70,0.30,0.38,AZ
OTOMOTİVE,42.1,59941.28,0.30,0.63,0.93,0.87,0.13,0.05,AZ
GIDA,31.9,60455.21,0.24,0.31,0.91,0.00,1.00,0.91,AZ
OTOMOTİVE,62.9,65824.26,0.48,0.12,0.45,0.89,0.11,0.10,AZ
GİYİM,28.6,62684.15,0.44,0.05,0.84,0.64,0.36,0.68,AZ
GİYİM,29.3,71833.16,0.37,0.09,0.43,0.21,0.79,0.22,AZ
MOBİLYA,38,70131.79,0.40,0.22,0.83,0.25,0.75,0.32,AZ
DİĞER,47.1,49633.09,0.40,0.86,0.98,0.22,0.78,0.95,AZ
OTOMOTİVE,56.1,68454.07,0.42,0.03,0.63,0.46,0.54,0.76,AZ
DİĞER,48.1,55074.13,0.32,0.73,0.90,0.91,0.09,0.61,AZ
MOBİLYA,45.7,72328.61,0.44,0.44,0.99,0.00,1.00,0.21,AZ
GİYİM,43.1,67123.33,0.31,0.41,0.96,0.84,0.16,0.47,AZ
OTOMOTİVE,47.4,62943.74,0.29,0.40,0.98,0.11,0.89,0.59,AZ
MOBİLYA,44.4,70957.6,0.31,0.16,0.46,0.48,0.52,0.27,AZ
GİYİM,41.2,69571.53,0.33,0.50,0.88,0.13,0.87,0.79,AZ
GIDA,31.2,56717.59,0.44,0.62,0.67,0.90,0.10,0.66,AZ
OTOMOTİVE,54.2,62052.16,0.37,0.92,0.95,0.73,0.27,0.95,AZ
MOBİLYA,35.5,56206.48,0.46,0.89,0.37,0.96,0.04,0.10,AZ
OTOMOTİVE,41.7,55313.57,0.36,0.45,0.03,0.24,0.76,0.07,AZ
GİYİM,52.9,62323.74,0.16,0.49,0.50,0.89,0.11,0.43,AZ
DİĞER,55.9,60971.91,0.32,0.04,0.58,0.99,0.01,0.63,AZ
GİYİM,46.6,65627,0.20,0.28,0.05,0.62,0.38,0.17,AZ
GİYİM,19.8,59973.93,0.46,0.14,0.13,0.56,0.44,0.01,AZ
GIDA,35,54850.29,0.23,0.73,0.62,0.63,0.37,0.07,AZ
BEYAZ EŞYA,50.4,57411.06,0.41,0.37,0.01,0.83,0.17,0.85,AZ
DİĞER,46.7,60549.64,0.52,0.78,0.23,0.67,0.33,0.04,AZ
BEYAZ EŞYA,47.1,63732.87,0.28,0.53,0.16,0.28,0.72,0.41,AZ
BEYAZ EŞYA,42.7,70489.36,0.37,0.20,0.15,0.19,0.81,0.28,AZ
MOBİLYA,54.3,58752.49,0.35,0.99,0.46,0.81,0.19,0.40,AZ
OTOMOTİVE,51.9,57274.36,0.36,0.99,0.17,0.93,0.07,0.83,AZ
GIDA,30.8,70769.19,0.29,0.27,0.24,0.73,0.27,0.19,AZ
GİYİM,27.9,48471.59,0.45,0.88,0.39,0.90,0.10,0.79,AZ
DİĞER,46.6,60782.43,0.42,0.24,0.77,0.24,0.76,0.29,AZ
MOBİLYA,55.6,63873.63,0.29,0.95,0.03,0.70,0.30,0.56,AZ
BEYAZ EŞYA,54.6,54696.29,0.26,0.57,0.65,0.19,0.81,0.52,AZ
MOBİLYA,32.2,69137.13,0.41,0.61,0.98,0.95,0.05,0.76,AZ
OTOMOTİVE,42.9,61012.64,0.52,0.57,0.64,0.72,0.28,0.59,AZ
DİĞER,56.4,45035.4,0.18,0.73,0.90,0.14,0.86,0.71,AZ
MOBİLYA,52.5,52826.84,0.38,0.88,0.70,0.45,0.55,0.42,AZ
DİĞER,34,64522.63,0.32,0.87,0.30,0.67,0.33,0.92,AZ
BEYAZ EŞYA,34.2,50393.29,0.31,0.90,0.31,0.78,0.22,0.83,AZ
OTOMOTİVE,56.4,45377.93,0.27,0.05,0.09,0.10,0.90,0.73,AZ
OTOMOTİVE,34.8,70542.65,0.31,0.32,0.03,0.01,0.99,0.86,AZ
MOBİLYA,56.2,70406.56,0.41,0.55,0.94,0.92,0.08,0.31,AZ
GİYİM,61.8,59856.74,0.41,0.74,0.27,0.42,0.58,0.92,AZ
BEYAZ EŞYA,51.2,61532.12,0.43,0.91,0.30,0.90,0.10,0.93,AZ
OTOMOTİVE,24.2,59744.8,0.29,0.46,0.10,0.11,0.89,0.79,AZ
BEYAZ EŞYA,50.6,62203.34,0.37,0.09,0.55,0.20,0.80,0.50,AZ
BEYAZ EŞYA,61.6,54074.08,0.36,0.65,0.80,0.59,0.41,0.43,AZ
BEYAZ EŞYA,37.8,70792.72,0.33,0.76,0.33,0.47,0.53,0.69,AZ
GIDA,43.9,63627.45,0.49,0.52,0.35,0.18,0.82,0.61,AZ
OTOMOTİVE,44.9,59477.99,0.38,0.72,0.90,0.97,0.03,0.04,AZ
GIDA,48.1,66168.16,0.28,0.77,0.62,0.17,0.83,0.34,AZ
GIDA,32.9,46111.71,0.54,0.48,0.54,0.19,0.81,0.68,AZ
OTOMOTİVE,36.4,69264.41,0.42,0.30,0.52,0.65,0.35,0.98,AZ
GİYİM,63.6,64789.71,0.42,0.85,0.14,0.88,0.12,0.30,AZ
MOBİLYA,33.4,56168.16,0.22,0.42,0.74,0.67,0.33,0.04,AZ
MOBİLYA,39.9,66141.61,0.21,0.42,0.91,0.28,0.72,0.47,AZ
OTOMOTİVE,66.6,65211.55,0.31,0.04,0.18,0.27,0.73,0.98,AZ
BEYAZ EŞYA,61.5,65793.93,0.49,0.15,0.82,0.84,0.16,0.10,AZ
MOBİLYA,42.9,67720.01,0.30,0.51,0.08,0.30,0.70,0.32,AZ
DİĞER,47.5,59641.17,0.39,0.80,0.81,0.18,0.82,0.96,AZ
GIDA,36,65376.38,0.49,0.51,0.61,0.55,0.45,0.59,AZ
GİYİM,33.4,55399.73,0.42,0.44,0.28,0.49,0.51,0.41,AZ
MOBİLYA,51.8,62566.28,0.44,0.86,0.85,0.22,0.78,0.74,AZ
GIDA,41.4,62705.66,0.41,0.62,0.77,0.99,0.01,0.57,AZ
GİYİM,43.9,69731.96,0.35,0.80,0.28,0.08,0.92,0.61,AZ
DİĞER,35.5,67467.02,0.37,0.51,0.13,0.49,0.51,0.21,AZ
BEYAZ EŞYA,46.5,54684.91,0.41,0.23,0.66,0.55,0.45,0.09,AZ
MOBİLYA,58.9,59753.55,0.43,0.44,0.07,0.16,0.84,0.72,AZ
BEYAZ EŞYA,47.8,56960.33,0.51,0.55,0.07,0.15,0.85,0.95,AZ
GİYİM,36.4,68527.2,0.40,0.63,0.74,0.38,0.62,0.09,AZ
GİYİM,51.9,50742,0.40,0.32,0.83,0.63,0.37,0.00,AZ
GİYİM,45,47158.07,0.47,0.10,0.82,0.12,0.88,0.25,AZ
GIDA,48.4,53056.61,0.28,0.59,0.61,0.82,0.18,0.37,AZ
GIDA,47.1,70759.14,0.45,0.69,0.84,0.71,0.29,0.93,AZ
MOBİLYA,20.6,59129.32,0.37,0.04,0.15,0.03,0.97,0.13,AZ
GİYİM,27,69832.61,0.25,0.76,0.75,0.73,0.27,0.03,AZ
DİĞER,27.1,61225.4,0.29,0.62,0.05,0.68,0.32,0.17,AZ
GIDA,32.2,55933.82,0.35,0.93,0.55,0.37,0.63,0.23,AZ
GİYİM,43.5,58803.19,0.41,0.99,0.59,0.81,0.19,0.98,AZ
GİYİM,26.4,58115.19,0.39,0.60,0.16,0.09,0.91,0.09,AZ
OTOMOTİVE,33.9,67902.54,0.37,0.44,0.13,0.49,0.51,0.42,AZ
DİĞER,55.6,66443.32,0.16,0.51,0.37,0.97,0.03,0.42,AZ
GIDA,42.7,55999.9,0.50,0.97,0.59,0.33,0.67,0.60,AZ
BEYAZ EŞYA,45.9,60191.82,0.40,1.00,0.70,0.63,0.37,0.85,AZ
DİĞER,34.1,63339.45,0.37,0.28,0.87,0.18,0.82,0.10,AZ
DİĞER,39.5,58733.68,0.18,0.18,0.47,0.10,0.90,0.75,AZ
OTOMOTİVE,43.5,63951.15,0.29,0.17,0.78,0.76,0.24,0.90,AZ
GİYİM,46.4,63601.84,0.31,0.93,0.49,0.64,0.36,0.44,AZ
GIDA,25.5,70371.73,0.24,0.03,0.01,0.24,0.76,0.48,AZ
GİYİM,65.2,59459.41,0.32,0.10,0.18,0.40,0.60,0.67,AZ
MOBİLYA,37.5,50369.34,0.47,0.00,0.84,0.63,0.37,0.55,AZ
OTOMOTİVE,40,59000.81,0.38,0.95,0.28,0.71,0.29,0.74,AZ
MOBİLYA,27.9,55484.43,0.32,0.74,0.79,0.49,0.51,0.96,AZ
BEYAZ EŞYA,31.9,52955.42,0.31,0.50,0.56,0.49,0.51,0.24,AZ
BEYAZ EŞYA,61.7,71542.63,0.50,0.90,0.93,0.43,0.57,0.56,AZ
GIDA,35.8,63249.71,0.50,0.44,0.43,0.77,0.23,0.79,AZ
GIDA,29.3,52197.05,0.38,0.18,0.56,0.62,0.38,0.23,AZ
MOBİLYA,36.9,60143.75,0.48,0.77,0.44,0.49,0.51,0.32,AZ
GIDA,51.2,55068.59,0.18,0.75,0.24,0.21,0.79,0.32,AZ
DİĞER,49.7,67540.52,0.45,0.24,0.30,0.66,0.34,0.51,AZ
MOBİLYA,51.9,62085.95,0.48,0.38,0.47,0.76,0.24,0.03,AZ
BEYAZ EŞYA,44.1,60463.35,0.35,0.33,0.54,0.30,0.70,0.63,AZ
GIDA,52.1,53710.88,0.38,0.48,0.68,0.64,0.36,0.81,AZ
OTOMOTİVE,52.6,56568.84,0.34,0.11,0.14,0.54,0.46,0.96,AZ
GİYİM,35.9,66010.73,0.46,0.98,0.13,0.66,0.34,0.91,AZ
GIDA,32.2,65869.3,0.36,0.40,0.93,0.80,0.20,0.96,AZ
GIDA,37.5,60430.22,0.37,0.35,0.33,0.71,0.29,0.57,AZ
BEYAZ EŞYA,50.3,72792.32,0.33,0.46,0.89,0.22,0.78,0.58,AZ
OTOMOTİVE,43.8,55976.13,0.48,0.30,0.10,0.68,0.32,0.62,AZ
GİYİM,43.5,62364.54,0.32,0.07,0.72,0.25,0.75,0.20,AZ
DİĞER,57.2,66675.09,0.45,0.31,0.30,0.65,0.35,0.20,AZ
MOBİLYA,47.1,70178.62,0.38,0.97,0.15,0.23,0.77,0.71,AZ
GİYİM,50.4,58383.78,0.31,0.12,0.73,0.89,0.11,0.97,AZ
DİĞER,37,53718.72,0.45,0.03,0.24,0.00,1.00,0.73,AZ
BEYAZ EŞYA,28.5,61902.79,0.34,0.51,0.96,0.32,0.68,0.01,AZ
GİYİM,45.5,64536.98,0.36,0.38,0.24,0.08,0.92,0.12,AZ
GIDA,49.3,64902.79,0.37,0.12,0.82,0.57,0.43,0.90,AZ
DİĞER,52.3,65730.78,0.34,0.53,0.21,0.57,0.43,0.72,AZ
DİĞER,64.3,65758.64,0.27,0.40,0.45,0.63,0.37,0.75,AZ
GIDA,43.3,58648.23,0.36,0.41,0.83,0.47,0.53,0.47,AZ
MOBİLYA,56.3,68763.33,0.21,0.80,0.85,0.78,0.22,0.88,AZ
GIDA,36.9,70997.89,0.33,0.94,0.15,0.73,0.27,0.85,AZ
DİĞER,35.5,63051.46,0.49,0.25,0.02,0.86,0.14,0.82,AZ
OTOMOTİVE,42.9,61175.85,0.27,0.13,0.66,0.03,0.97,0.27,AZ
GIDA,18.2,64615.47,0.31,0.03,0.26,0.49,0.51,0.27,AZ
OTOMOTİVE,32.1,63181.69,0.18,0.83,0.45,0.03,0.97,0.00,AZ
OTOMOTİVE,50.9,58517.73,0.22,0.08,0.96,0.33,0.67,0.87,AZ
MOBİLYA,45.9,58126.66,0.37,0.47,0.54,0.93,0.07,0.59,AZ
BEYAZ EŞYA,23.5,72946.04,0.39,0.16,0.14,0.87,0.13,0.96,AZ
MOBİLYA,53.9,55901.75,0.21,0.48,0.85,0.24,0.76,0.21,AZ
GIDA,42.6,61720.35,0.45,0.05,0.19,0.71,0.29,0.31,AZ
OTOMOTİVE,54.5,63376.78,0.35,0.62,0.48,0.49,0.51,0.20,AZ
GİYİM,50.2,58834.2,0.34,0.08,0.82,0.96,0.04,0.48,AZ
DİĞER,52.1,63861.43,0.45,0.92,0.60,0.93,0.07,0.01,AZ
GIDA,54.3,51711.7,0.30,0.52,0.89,0.72,0.28,0.74,AZ
DİĞER,52.6,68407.9,0.27,0.75,0.49,0.32,0.68,0.46,AZ
MOBİLYA,43.6,65546.37,0.32,0.56,0.66,0.59,0.41,0.39,AZ
MOBİLYA,32.8,52312.67,0.39,0.81,0.39,0.84,0.16,0.33,AZ
DİĞER,55.9,68333.08,0.50,0.44,0.91,0.59,0.41,0.42,AZ
MOBİLYA,52,56241.83,0.56,0.10,0.96,0.87,0.13,0.74,AZ
GİYİM,42.3,55416.34,0.34,0.85,0.20,0.26,0.74,0.88,AZ
DİĞER,37.1,62455.47,0.43,0.82,0.31,0.29,0.71,0.98,AZ
OTOMOTİVE,32.2,70943.06,0.59,0.20,0.04,0.66,0.34,0.08,AZ
OTOMOTİVE,44.9,53357.5,0.27,0.63,0.33,0.24,0.76,0.34,AZ
DİĞER,44.6,61605.56,0.49,0.75,0.02,0.28,0.72,0.13,AZ
MOBİLYA,40.6,57852.18,0.33,0.46,0.64,0.32,0.68,0.19,AZ
BEYAZ EŞYA,48.5,53523.33,0.52,0.67,0.93,0.76,0.24,0.44,AZ
DİĞER,37.7,57681.85,0.42,0.36,0.20,0.89,0.11,0.62,AZ
GIDA,43,52776.32,0.37,0.91,0.45,0.59,0.41,0.36,AZ
DİĞER,45.2,56164.98,0.54,0.39,0.21,0.13,0.87,0.85,AZ
MOBİLYA,26.7,60619.04,0.44,0.39,0.36,0.06,0.94,0.25,AZ
GİYİM,32.8,60828.98,0.38,0.90,0.02,0.06,0.94,0.29,AZ
GİYİM,38.6,54292.88,0.24,0.58,0.28,0.94,0.06,0.83,AZ
BEYAZ EŞYA,40.6,65280.63,0.41,0.50,0.18,0.69,0.31,0.13,AZ
MOBİLYA,53.7,67209.93,0.38,0.00,0.45,0.72,0.28,0.80,AZ
MOBİLYA,48,66612.46,0.30,0.25,0.86,0.63,0.37,0.71,AZ
DİĞER,38.9,52364.81,0.42,0.45,0.01,0.26,0.74,0.51,AZ
BEYAZ EŞYA,32.2,69482.77,0.24,0.17,0.25,0.45,0.55,0.30,AZ
MOBİLYA,48.5,59688.28,0.29,0.94,0.18,0.02,0.98,0.53,AZ
OTOMOTİVE,47.3,52020.41,0.29,0.15,0.74,0.23,0.77,0.39,AZ
GIDA,27.1,69942.02,0.52,0.77,0.06,0.92,0.08,0.21,AZ
MOBİLYA,57.2,54059.26,0.37,0.84,0.53,0.49,0.51,0.74,AZ
GİYİM,49.5,64993.87,0.44,0.36,0.73,0.17,0.83,0.84,AZ
GİYİM,52.8,58566.25,0.26,0.67,0.47,0.85,0.15,0.79,AZ
BEYAZ EŞYA,38.6,52378.62,0.43,0.68,0.28,0.67,0.33,0.81,AZ
MOBİLYA,50.3,65581.94,0.46,0.51,0.67,0.35,0.65,0.35,AZ
GİYİM,60.9,72987.53,0.53,0.88,0.79,0.08,0.92,0.75,AZ
BEYAZ EŞYA,33.2,68448.55,0.46,0.78,0.68,0.19,0.81,0.79,AZ
GIDA,46.5,58785.77,0.32,0.93,0.44,0.19,0.81,0.29,AZ
OTOMOTİVE,55.3,69029.74,0.33,0.37,0.65,0.85,0.15,0.22,AZ
BEYAZ EŞYA,48.7,58077.94,0.48,0.23,0.00,0.15,0.85,0.73,AZ
OTOMOTİVE,47.3,68829.64,0.46,0.40,0.77,0.25,0.75,0.56,AZ
OTOMOTİVE,37.6,68468.72,0.47,0.31,0.87,0.87,0.13,0.60,AZ
MOBİLYA,65.5,64988.6,0.27,0.62,0.50,0.22,0.78,0.30,AZ
BEYAZ EŞYA,53.4,60429.75,0.31,0.06,0.09,0.69,0.31,0.50,AZ
MOBİLYA,23.2,60313.36,0.10,0.94,0.27,0.22,0.78,0.70,AZ
OTOMOTİVE,47.6,48433.84,0.56,0.89,0.15,0.66,0.34,0.71,AZ
DİĞER,60.3,62050.69,0.32,0.56,0.57,0.32,0.68,0.34,AZ
GIDA,52.2,61745.46,0.37,0.59,0.38,0.64,0.36,0.43,AZ
MOBİLYA,38.5,63585.57,0.22,0.59,0.92,0.53,0.47,0.63,AZ
MOBİLYA,40.6,69106.91,0.60,0.14,0.54,0.11,0.89,0.64,AZ
MOBİLYA,43.1,62282.76,0.27,0.61,0.80,0.94,0.06,0.35,AZ
OTOMOTİVE,47.7,64218.41,0.48,0.68,0.21,0.95,0.05,0.24,AZ
GİYİM,41.3,50681.26,0.31,0.84,0.77,0.26,0.74,0.91,AZ
OTOMOTİVE,51,51612.71,0.18,0.25,0.86,0.25,0.75,0.61,AZ
MOBİLYA,30.9,54996.35,0.40,0.15,0.31,0.45,0.55,0.86,AZ
OTOMOTİVE,34,53343.59,0.48,0.51,0.92,0.73,0.27,0.51,AZ
MOBİLYA,22,68494.89,0.12,0.46,0.04,0.76,0.24,0.99,AZ
BEYAZ EŞYA,26.9,63191.4,0.35,0.57,0.29,0.55,0.45,0.54,AZ
GİYİM,50.8,46900.62,0.18,1.00,0.19,0.19,0.81,0.43,AZ
OTOMOTİVE,53.4,54102.89,0.37,0.84,0.94,0.44,0.56,0.41,AZ
DİĞER,31.4,58709.42,0.25,0.25,0.83,0.90,0.10,0.46,AZ
GİYİM,47.2,55623.43,0.29,0.61,0.80,0.85,0.15,0.01,AZ
DİĞER,51.1,66705.41,0.27,0.06,0.35,0.16,0.84,0.88,AZ
GIDA,25.2,62292.12,0.24,0.30,0.54,0.26,0.74,0.29,AZ
BEYAZ EŞYA,67.8,68625.12,0.44,0.05,0.65,0.32,0.68,0.09,AZ
GİYİM,54.4,68380.12,0.29,0.48,0.86,0.68,0.32,0.66,AZ
OTOMOTİVE,57.3,62357.97,0.36,0.91,0.61,0.16,0.84,0.68,AZ
GIDA,39.3,62910.87,0.33,0.41,0.01,0.04,0.96,0.79,AZ
MOBİLYA,37.2,57894.39,0.39,0.91,0.95,0.29,0.71,0.24,AZ
OTOMOTİVE,50.9,47979.55,0.42,0.06,0.43,0.68,0.32,0.14,AZ
MOBİLYA,42.2,59965.1,0.46,0.96,0.23,0.72,0.28,0.21,AZ
GİYİM,54.4,56416.82,0.44,0.84,0.18,0.02,0.98,0.12,AZ
OTOMOTİVE,56.4,59833.43,0.41,0.29,0.07,0.85,0.15,0.23,AZ
DİĞER,51.9,57716.62,0.34,0.45,0.06,0.69,0.31,0.69,AZ
BEYAZ EŞYA,57.8,70807.95,0.35,0.73,0.64,0.80,0.20,0.62,AZ
GİYİM,66.4,53510.03,0.45,0.97,0.13,0.95,0.05,0.01,AZ
OTOMOTİVE,33.8,57407.91,0.47,0.22,0.40,0.07,0.93,0.45,AZ
BEYAZ EŞYA,40.5,63960.97,0.42,0.65,0.15,0.91,0.09,0.77,AZ
OTOMOTİVE,40.9,64578.06,0.27,0.88,0.81,0.66,0.34,0.20,AZ
MOBİLYA,18.5,59161.46,0.35,0.46,0.52,0.48,0.52,0.35,AZ
BEYAZ EŞYA,39.9,61218.52,0.54,0.57,0.15,0.94,0.06,0.56,AZ
BEYAZ EŞYA,34.9,66311.08,0.42,0.37,0.26,0.10,0.90,0.85,AZ
GİYİM,35.2,65078.05,0.53,0.32,1.00,0.09,0.91,0.73,AZ
GIDA,53.9,67006.96,0.49,0.78,0.45,0.63,0.37,0.44,AZ
DİĞER,40.5,56466.67,0.30,0.03,0.39,0.19,0.81,0.73,AZ
MOBİLYA,48.4,64630.16,0.29,0.98,0.90,0.86,0.14,0.11,AZ
MOBİLYA,46.9,53203.47,0.36,0.47,0.41,0.60,0.40,0.81,AZ
GIDA,28.9,59539.82,0.23,0.77,0.81,0.70,0.30,0.16,AZ
BEYAZ EŞYA,46.4,59183.7,0.43,0.25,0.56,0.92,0.08,0.73,AZ
GIDA,46.9,65664.25,0.33,0.28,0.53,0.28,0.72,0.49,AZ
DİĞER,29.5,62373.24,0.40,0.88,0.14,0.18,0.82,0.45,AZ
MOBİLYA,35.8,67037.72,0.35,0.00,0.12,0.06,0.94,0.39,AZ
GİYİM,47.2,60918.06,0.19,0.71,0.65,0.78,0.22,0.65,AZ
MOBİLYA,56.5,68196.89,0.35,0.32,0.33,0.71,0.29,0.49,AZ
GIDA,62.7,53353.85,0.51,0.70,0.69,0.25,0.75,0.92,AZ
DİĞER,38.8,69175.11,0.36,0.96,0.65,0.21,0.79,0.40,AZ
BEYAZ EŞYA,36.9,63495.15,0.29,0.54,0.73,0.48,0.52,0.97,AZ
DİĞER,35,58295.12,0.33,0.54,0.20,0.75,0.25,0.29,AZ
DİĞER,52.1,68253.95,0.38,0.32,0.28,0.71,0.29,0.65,AZ
GİYİM,34.7,52939.58,0.45,0.86,0.35,0.82,0.18,0.78,AZ
GIDA,50.6,59092.63,0.57,0.21,0.18,0.13,0.87,0.28,AZ
GİYİM,52.1,64446.08,0.35,0.96,0.54,0.55,0.45,0.16,AZ
DİĞER,46.1,65163.97,0.42,0.02,0.42,0.85,0.15,0.98,AZ
GİYİM,25.6,60189.18,0.52,0.46,0.47,1.00,0.00,0.53,AZ
GIDA,35.5,58382.24,0.23,0.04,0.49,0.67,0.33,0.26,AZ
GIDA,55.8,48523.58,0.35,0.96,0.23,0.88,0.12,0.93,AZ
OTOMOTİVE,46.9,65199.06,0.36,0.96,0.99,0.31,0.69,0.06,AZ
DİĞER,34.6,59650.28,0.27,0.40,0.35,0.11,0.89,0.44,AZ
GIDA,56,62598.6,0.45,0.17,0.33,0.68,0.32,0.68,AZ
GIDA,31.2,72530.34,0.42,0.14,0.45,0.66,0.34,0.27,AZ
BEYAZ EŞYA,36.4,63814.22,0.30,0.45,0.63,0.03,0.97,0.62,AZ
GİYİM,47.7,72350.69,0.32,0.71,0.38,0.49,0.51,0.35,AZ
BEYAZ EŞYA,49.6,61765.34,0.41,0.69,0.14,0.52,0.48,0.01,AZ
DİĞER,14.3,54468.91,0.28,0.32,0.21,0.58,0.42,0.22,AZ
DİĞER,55.7,66748.01,0.58,0.88,0.05,0.62,0.38,0.30,AZ
BEYAZ EŞYA,68.6,52783.52,0.36,0.54,0.13,0.09,0.91,0.77,AZ
MOBİLYA,47.8,72356.6,0.42,0.38,0.91,0.51,0.49,0.28,AZ
OTOMOTİVE,43,51654.19,0.42,0.23,0.13,0.55,0.45,0.57,AZ
GİYİM,67.5,64333.15,0.41,1.00,0.83,0.37,0.63,0.38,AZ
BEYAZ EŞYA,44.7,62227.19,0.38,0.93,0.56,0.13,0.87,0.27,AZ
MOBİLYA,37.2,64664.66,0.17,0.19,0.39,0.41,0.59,0.91,AZ
OTOMOTİVE,36.5,65103.13,0.16,0.89,0.72,0.67,0.33,0.35,AZ
GIDA,35.6,58690.18,0.31,0.00,0.46,0.27,0.73,0.14,AZ
DİĞER,62.3,63818.33,0.47,0.41,0.16,0.27,0.73,0.16,AZ
MOBİLYA,22.1,57886.1,0.25,1.00,0.24,0.84,0.16,0.22,AZ
MOBİLYA,44.7,60715.37,0.36,0.74,0.86,0.56,0.44,0.83,AZ
GIDA,43.9,60994.64,0.39,0.27,0.57,0.86,0.14,0.65,AZ
MOBİLYA,48.5,52910.96,0.52,0.35,0.76,0.16,0.84,0.86,AZ
BEYAZ EŞYA,43.6,61885.62,0.41,0.58,0.73,0.54,0.46,0.86,AZ
OTOMOTİVE,45.2,72712.66,0.34,0.33,0.62,0.25,0.75,0.21,AZ
MOBİLYA,47.5,68232.22,0.35,0.19,0.67,0.69,0.31,0.12,AZ
OTOMOTİVE,46.9,53799.07,0.39,0.87,0.07,0.14,0.86,0.83,AZ
OTOMOTİVE,58.5,68749.06,0.41,0.13,0.69,0.61,0.39,0.58,AZ
GİYİM,49.8,47974.79,0.49,0.14,0.99,0.64,0.36,0.88,AZ
GIDA,49,65919.71,0.26,0.42,0.89,0.99,0.01,0.33,AZ
GIDA,29.1,68221.66,0.28,0.11,0.96,0.67,0.33,0.90,AZ
GİYİM,48,67316.91,0.50,0.73,0.08,0.45,0.55,0.78,AZ
MOBİLYA,31.1,60134.86,0.28,0.77,0.32,0.49,0.51,0.86,AZ
GİYİM,46.9,55726.9,0.33,0.08,0.27,0.76,0.24,0.99,AZ
GIDA,38.9,64884.88,0.34,0.97,0.89,0.20,0.80,0.41,AZ
MOBİLYA,60.3,58758.48,0.40,0.77,0.09,0.44,0.56,0.04,AZ
GİYİM,13.4,71278.74,0.37,0.78,0.12,0.50,0.50,0.32,AZ
DİĞER,52.4,64325.95,0.26,0.54,0.48,0.67,0.33,0.59,AZ
DİĞER,43.2,67029.44,0.42,0.49,0.70,0.22,0.78,0.89,AZ
GIDA,47.7,58823.85,0.33,0.05,0.27,0.08,0.92,0.24,AZ
GİYİM,41.1,54312.01,0.39,0.70,0.27,0.37,0.63,0.37,AZ
GIDA,42.5,61206.32,0.50,0.69,0.61,0.14,0.86,0.68,AZ
GIDA,44.9,67765.54,0.28,0.69,0.86,0.53,0.47,0.64,AZ
OTOMOTİVE,40.2,50781.81,0.35,0.17,0.54,0.28,0.72,0.37,AZ
MOBİLYA,35.4,69240.47,0.44,0.65,0.70,0.54,0.46,0.30,AZ
DİĞER,41.5,61519.41,0.32,0.43,0.78,0.49,0.51,0.12,AZ
GIDA,36.9,61956.23,0.21,0.84,0.24,0.83,0.17,0.84,AZ
OTOMOTİVE,38.9,65766.59,0.49,0.52,0.93,0.44,0.56,0.51,AZ
DİĞER,56.7,62401.33,0.39,0.45,0.29,0.04,0.96,0.31,AZ
BEYAZ EŞYA,36.4,63543.24,0.48,0.91,0.99,0.90,0.10,0.99,AZ
GIDA,43.9,60757.45,0.35,0.37,0.07,0.52,0.48,0.33,AZ
DİĞER,36.5,60295.81,0.32,0.04,0.52,0.43,0.57,0.27,AZ
OTOMOTİVE,19.7,65312.03,0.23,0.80,0.02,0.75,0.25,0.64,AZ
